Product name,Product description,Price ($),Amount,Total price ($),Link
Laser tree LT-20W,"Laser module, 4W optical power","34,09",1,"34,09","https://pl.aliexpress.com/item/1005003306807390.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.6db0DK4CDK4Cfh&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=efae0e2c-adf3-4440-94dc-df6932cc5b3b&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:efae0e2c-adf3-4440-94dc-df6932cc5b3b,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%22545%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21USD%2137.88%2134.09%21%21%2137.88%2134.09%21%40211b80e117668627392187425e7a82%2112000035196145458%21rec%21PL%212719169016%21XZ%211%210%21n_tag%3A-29919%3Bd%3A5a5a8e15%3Bm03_new_user%3A-29895%3BpisId%3A5000000197181459&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005003306807390%7C_p_origin_prod%3A"
Nema 17,Stepper motor,"8,54",3,"25,62",https://pl.aliexpress.com/item/1005008459399126.html?pdp_ext_f=%7B%22sku_id%22%3A%2212000045225398666%22%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0&gatewayAdapt=glo2pol
PSU 12V 10A,Power supply,"12,32",1,"12,32",https://pl.aliexpress.com/item/33051556213.html?pdp_ext_f=%7B%22sku_id%22%3A%2212000016440247424%22%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0&gatewayAdapt=glo2pol
Full Controller,Arduinio Uno + CNC shield + stepper drivers,"11,27",1,"11,27",https://pl.aliexpress.com/item/1005009968121020.html?spm=a2g0o.productlist.main.4.6fc7o1Oxo1OxRG&aem_p4p_detail=202512251542052629393130188800000846606&algo_pvid=d3391c1f-ee94-4c5e-8632-4b10fcc85086&algo_exp_id=d3391c1f-ee94-4c5e-8632-4b10fcc85086-3&pdp_ext_f=%7B%22order%22%3A%2289%22%2C%22spu_best_type%22%3A%22service%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.40%214.40%21%21%2130.66%2130.66%21%40211b61bb17667061255658251e6833%2112000050716211491%21sea%21PL%212719169016%21X%211%210%21n_tag%3A-29919%3Bd%3A22fedcc4%3Bm03_new_user%3A-29895&curPageLogUid=XIXIk9VCUSM3&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009968121020%7C_p_origin_prod%3A&search_p4p_id=202512251542052629393130188800000846606_1
2020 Extrusion 550mm,-,"9,49",1,"9,49",https://pl.aliexpress.com/item/1005004679698586.html?spm=a2g0o.order_detail.order_detail_item.3.41e543ceeSV3Nq&gatewayAdapt=glo2pol
2040 Extrusion 700mm,-,"19,11",2,"38,22",https://pl.aliexpress.com/item/1005004679698586.html?spm=a2g0o.productlist.main.2.502ard1Zrd1ZXs&algo_pvid=64cca9a8-705a-4b5a-8a17-d62cecf7434a&algo_exp_id=64cca9a8-705a-4b5a-8a17-d62cecf7434a-1&pdp_ext_f=%7B%22order%22%3A%22500%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.75%2116.76%21%21%2116.75%2116.76%21%402103847817667452657362870e7139%2112000030075377755%21sea%21PL%212719169016%21X%211%210%21n_tag%3A-29919%3Bd%3A22fedcc4%3Bm03_new_user%3A-29895&curPageLogUid=1pm48O7g5ZjH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004679698586%7C_p_origin_prod%3A
2040 Extrusion 450mm,-,"13,24",2,"26,48",https://pl.aliexpress.com/item/1005004679698586.html?spm=a2g0o.productlist.main.2.502ard1Zrd1ZXs&algo_pvid=64cca9a8-705a-4b5a-8a17-d62cecf7434a&algo_exp_id=64cca9a8-705a-4b5a-8a17-d62cecf7434a-1&pdp_ext_f=%7B%22order%22%3A%22500%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2116.75%2116.76%21%21%2116.75%2116.76%21%402103847817667452657362870e7139%2112000030075377755%21sea%21PL%212719169016%21X%211%210%21n_tag%3A-29919%3Bd%3A22fedcc4%3Bm03_new_user%3A-29895&curPageLogUid=1pm48O7g5ZjH&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005004679698586%7C_p_origin_prod%3A
Wheels for 2020 rollers,3pcs,"5,29",1,"5,29",https://pl.aliexpress.com/item/1005007494205467.html?spm=a2g0o.order_list.order_list_main.36.1ab91c246j5GV6&gatewayAdapt=glo2pol
2020 V-slot Gantry,2pcs,"11,49",1,"11,49",https://pl.aliexpress.com/item/1005007487312327.html?pdp_ext_f=%7B%22sku_id%22%3A%2212000040974608466%22%7D&sourceType=1&spm=a2g0o.wish-manage-home.0.0&gatewayAdapt=glo2pol
16T Sprocket,"5mm bore, 6mm belt width","1,94",3,"5,82",https://pl.aliexpress.com/item/1005004863292486.html?spm=a2g0o.order_list.order_list_main.51.1ab91c246j5GV6&gatewayAdapt=glo2pol
